epoch,loss,mae_metric,psnr_metric,ssim_metric,val_loss,val_mae_metric,val_psnr_metric,val_ssim_metric
0,1.179879069328308,0.020771009847521782,32.034523010253906,0.9636003375053406,1.0474227666854858,0.01596236415207386,33.90857696533203,0.9700704216957092
1,1.1778351068496704,0.02064792439341545,32.06325912475586,0.9635752439498901,1.047385811805725,0.016014887019991875,33.88319778442383,0.9698504209518433
2,1.177132248878479,0.020684795454144478,32.05144119262695,0.9637218713760376,1.0465768575668335,0.015942169353365898,33.92519760131836,0.9698952436447144
3,1.1766282320022583,0.020572734996676445,32.10454177856445,0.963682234287262,1.0445822477340698,0.01595100201666355,33.9195671081543,0.9698924422264099
4,1.1728825569152832,0.02060793712735176,32.09281539916992,0.9638435244560242,1.0458577871322632,0.015927515923976898,33.92403793334961,0.9699389338493347
5,1.177129864692688,0.020816104486584663,32.029605865478516,0.9635900259017944,1.0452641248703003,0.015938248485326767,33.92522048950195,0.9698931574821472
6,1.1719725131988525,0.020543638616800308,32.10316848754883,0.9638755321502686,1.0446635484695435,0.015992408618330956,33.88732147216797,0.9698032140731812
7,1.1745764017105103,0.020654069259762764,32.06564712524414,0.963773787021637,1.043635368347168,0.015964152291417122,33.907005310058594,0.9700097441673279
8,1.1731945276260376,0.020710553973913193,32.06726837158203,0.9634720683097839,1.0446852445602417,0.015900123864412308,33.95868682861328,0.9698933959007263
9,1.1729660034179688,0.020668568089604378,32.07303237915039,0.9635977149009705,1.0440291166305542,0.015925098210573196,33.929954528808594,0.969967782497406
10,1.1721516847610474,0.02064611203968525,32.0716438293457,0.9636081457138062,1.0454336404800415,0.016027307137846947,33.87544250488281,0.9696993231773376
11,1.1724852323532104,0.020622624084353447,32.087947845458984,0.9637155532836914,1.0440974235534668,0.015940727666020393,33.92647171020508,0.9699116945266724
12,1.1726375818252563,0.02083756774663925,32.02045822143555,0.9634420871734619,1.0435384511947632,0.016038525849580765,33.87349319458008,0.969757616519928
13,1.1694450378417969,0.02056090347468853,32.111934661865234,0.963840126991272,1.0433895587921143,0.01595456898212433,33.92219161987305,0.9698543548583984
14,1.173027515411377,0.020638540387153625,32.10013961791992,0.9636925458908081,1.042838215827942,0.01591554470360279,33.93642807006836,0.9700871109962463
15,1.1699070930480957,0.020588627085089684,32.1049690246582,0.9638212323188782,1.0428842306137085,0.01598414219915867,33.89847946166992,0.9698120951652527
16,1.1720478534698486,0.02078755386173725,32.044898986816406,0.9633462429046631,1.0419522523880005,0.01587557978928089,33.95456314086914,0.9698431491851807
17,1.174117088317871,0.020721491426229477,32.0584716796875,0.9635282158851624,1.0408663749694824,0.015843817964196205,33.980831146240234,0.9700959324836731
18,1.1677963733673096,0.020495576784014702,32.122623443603516,0.9638692736625671,1.040575623512268,0.015810128301382065,33.990455627441406,0.9700735807418823
19,1.169449806213379,0.020625416189432144,32.0948371887207,0.9638733863830566,1.0424503087997437,0.01591082476079464,33.946800231933594,0.9698129892349243
20,1.1705865859985352,0.02069106139242649,32.072025299072266,0.9636291265487671,1.0396811962127686,0.015859613195061684,33.97418975830078,0.9702188968658447
21,1.1692733764648438,0.020642397925257683,32.08521270751953,0.9638150334358215,1.040485143661499,0.01597229763865471,33.91395568847656,0.9699857234954834
22,1.1703158617019653,0.020589714869856834,32.085670471191406,0.9636774659156799,1.041525959968567,0.015856720507144928,33.973697662353516,0.9700997471809387
23,1.1656455993652344,0.020529955625534058,32.11115646362305,0.9639603495597839,1.0414204597473145,0.015986863523721695,33.90724182128906,0.9696996212005615
24,1.1703591346740723,0.020578647032380104,32.10603332519531,0.9637693166732788,1.0379582643508911,0.015850665047764778,33.9768180847168,0.9701664447784424
25,1.170067310333252,0.02064448781311512,32.08946228027344,0.9635752439498901,1.040687918663025,0.015850042924284935,33.981204986572266,0.9701050519943237
26,1.166748046875,0.02058473788201809,32.10431671142578,0.9637027382850647,1.0402710437774658,0.015860112383961678,33.97578048706055,0.9699518084526062
27,1.1692684888839722,0.020524777472019196,32.11009216308594,0.9638123512268066,1.0431654453277588,0.015979211777448654,33.909297943115234,0.9698306322097778
28,1.1662222146987915,0.02046116255223751,32.13370132446289,0.964058518409729,1.0385905504226685,0.015823019668459892,33.9849967956543,0.9703357219696045
